gb|13384-14226	MB-RF037|MB-RF093|MB-RF099
gb|AAK58418.1|ARO:3001426|OXA-32	MB-RF037|MB-RF093|MB-RF097
gb|AAK58421.1|ARO:3002331|GES-2	MB-RF034|MB-RF059
gb|AAK59385.1|ARO:3002200|IMP-9	MB-RF035|MB-RF063|MB-RF123
gb|AAK63040.1|ARO:3002635|APH(2'')-IIa	MB-RF011|MB-RF004
gb|AAK63041.1|ARO:3004629|AAC(6')-Im	MB-RF011|MB-RF004
gb|AAK63223.1|ARO:3003561|Sed1	MB-RF034|MB-RF111
gb|AAK64187.1|ARO:3001092|SHV-34	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAK69828.1|ARO:3001090|SHV-32	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAK69830.1|ARO:3002455|LEN-2	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAK70220.1|ARO:3002312|KPC-1	MB-RF034|MB-RF067
gb|AAK71471.1|ARO:3001880|CTX-M-17	MB-RF034|MB-RF048
gb|AAK71474.1|ARO:3000956|TEM-89	MB-RF034|MB-RF127
gb|AAK76136.1|ARO:3000025|patB	MB-RF006|MB-RF010|MB-RF086|MB-RF088|MB-RF108
gb|AAK76137.1|ARO:3000024|patA	MB-RF006|MB-RF010|MB-RF086|MB-RF088|MB-RF108
gb|AAK82652.1|ARO:3000965|TEM-102	MB-RF034|MB-RF127
gb|AAK96394.1|ARO:3002240|CARB-1	MB-RF030|MB-RF034
gb|AAK97755.1|ARO:3000167|tet(C)	MB-RF086|MB-RF129|MB-RF142
gb|AAK99679.1|ARO:3000822|pmrA	MB-RF086|MB-RF142|MB-RF145
gb|AAL02127.1|ARO:3001878|CTX-M-15	MB-RF034|MB-RF048
gb|AAL03985.1|ARO:3000937|TEM-71	MB-RF034|MB-RF127
gb|AAL05630.1|ARO:3002313|KPC-3	MB-RF034|MB-RF067
gb|AAL14439.1|ARO:3000774|adeA	MB-RF007|MB-RF108|MB-RF006|MB-RF007|MB-RF072|MB-RF086|MB-RF108
gb|AAL14440.1|ARO:3000775|adeB	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108|MB-RF008|MB-RF108
gb|AAL17873.1|ARO:3002403|OXY-2-8	MB-RF034|MB-RF102
gb|AAL19304.1|ARO:3000791|mdsC	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAL19305.1|ARO:3000790|mdsB	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAL19306.1|ARO:3000789|mdsA	MB-RF006|MB-RF072|MB-RF083|MB-RF086|MB-RF108
gb|AAL19308.1|ARO:3000504|golS	MB-RF060|MB-RF108|MB-RF121
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	MB-RF004|MB-RF011
gb|AAL20862.1|ARO:3000826|sdiA	MB-RF060
gb|AAL26797.1|ARO:3004448|HERA-1	MB-RF034
gb|AAL26995.1|ARO:3004817|HERA-2	MB-RF034
gb|AAL26996.1|ARO:3004818|HERA-3	MB-RF034
gb|AAL27442.1|ARO:3002907|vanE	MB-RF149
gb|AAL27444.1|ARO:3002971|vanTE	MB-RF154
gb|AAL27445.1|ARO:3002924|vanRE	MB-RF152
gb|AAL27446.1|ARO:3002935|vanSE	MB-RF153|MB-RF060
gb|AAL29433.1|ARO:3000948|TEM-81	MB-RF034|MB-RF127
gb|AAL29434.1|ARO:3000949|TEM-82	MB-RF034|MB-RF127
gb|AAL29435.1|ARO:3000950|TEM-83	MB-RF034|MB-RF127
gb|AAL29436.1|ARO:3000951|TEM-84	MB-RF034|MB-RF127
gb|AAL36430.1|ARO:3004692|aadA10	MB-RF011|MB-RF012|MB-RF014
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAL40899.1|ARO:3001101|SHV-43	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAL50725.1|ARO:3002478|LEN-15	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	MB-RF004|MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAL55262.1|ARO:3004766|CGA-1	MB-RF034|MB-RF159
gb|AAL68827.1|ARO:3000605|Erm(36)	MB-RF055|MB-RF058
gb|AAL68923.1|ARO:3000973|TEM-110	MB-RF034|MB-RF127
gb|AAL68926.1|ARO:3001093|SHV-35	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAL75563.1|ARO:3000168|tet(D)	MB-RF086|MB-RF132|MB-RF132|MB-RF142|MB-RF142
gb|AAL77062.1|ARO:3000974|TEM-111	MB-RF034|MB-RF127
gb|AAL78161.1|ARO:3002410|OXY-4-1	MB-RF034|MB-RF102
gb|AAL78275.1|ARO:3002391|OXY-1-3	MB-RF034|MB-RF102
gb|AAL78276.1|ARO:3002392|OXY-1-4	MB-RF034|MB-RF102
gb|AAL78278.2|ARO:3002401|OXY-2-6	MB-RF034|MB-RF102
gb|AAL78281.2|ARO:3002398|OXY-2-3	MB-RF034|MB-RF102
gb|AAL79541.1|ARO:3002397|OXY-2-2	MB-RF034|MB-RF102
gb|AAL79549.2|ARO:3003003|CfxA3	MB-RF033|MB-RF034
gb|AAL79576.1|ARO:3001096|SHV-38	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	MB-RF002|MB-RF003|MB-RF011|MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAL82592.1|ARO:3001094|SHV-36	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAL82593.1|ARO:3001095|SHV-37	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAL85333.1|ARO:3004773|CKO-1	MB-RF034
gb|AAL86924.1|ARO:3001884|CTX-M-22	MB-RF034|MB-RF048
gb|AAL86999.1|ARO:3004782|ERP-1	MB-RF034
gb|AAL99990.1|ARO:3001885|CTX-M-23	MB-RF034|MB-RF048
gb|AAM09849.1|ARO:3000005|vanD	MB-RF150
gb|AAM09850.1|ARO:3002944|vanHD	MB-RF151
gb|AAM09851.1|ARO:3002923|vanRD	MB-RF152
gb|AAM09852.1|ARO:3003070|vanXD	MB-RF156
gb|AAM09853.1|ARO:3002957|vanYD	MB-RF157
gb|AAM15527.1|ARO:3000947|TEM-80	MB-RF034|MB-RF127
gb|AAM18924.1|ARO:3000964|TEM-101	MB-RF034|MB-RF127
gb|AAM22276.1|ARO:3000963|TEM-96	MB-RF034|MB-RF127
gb|AAM28884.1|ARO:3000971|TEM-108	MB-RF034|MB-RF127
gb|AAM34291.1|ARO:3001419|OXA-24	MB-RF037|MB-RF093|MB-RF100
gb|AAM45855.1|ARO:3004780|DES-1	MB-RF034
gb|AAM52207.1|ARO:3000969|TEM-106	MB-RF034|MB-RF127
gb|AAM52215.1|ARO:3000970|TEM-107	MB-RF034|MB-RF127
gb|AAM61952.1|ARO:3000967|TEM-104	MB-RF034|MB-RF127
gb|AAM61953.1|ARO:3000968|TEM-105	MB-RF034|MB-RF127
gb|AAM63403.1|ARO:3003093|CEPH-A3	MB-RF035|MB-RF124|MB-RF035|MB-RF112|MB-RF124
gb|AAM70498.1|ARO:3001887|CTX-M-25	MB-RF034|MB-RF048
gb|AAM74565.1|ARO:3002246|CARB-7	MB-RF030|MB-RF034
gb|AAM76670.1|ARO:3002625|ANT(4')-IIb	MB-RF011|MB-RF012|MB-RF015
gb|AAM77075.1|ARO:3002695|cmlA5	MB-RF086|MB-RF142|MB-RF145
gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	MB-RF004|MB-RF004|MB-RF005|MB-RF011|MB-RF005|MB-RF011|MB-RF004|MB-RF011
gb|AAN00989.1|ARO:3003774|Streptococcus	MB-RF060|MB-RF087
gb|AAN04881.1|ARO:3000978|TEM-115	MB-RF034|MB-RF127
gb|AAN04882.1|ARO:3001098|SHV-40	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN04883.1|ARO:3001099|SHV-41	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN04884.1|ARO:3001100|SHV-42	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN05026.1|ARO:3000980|TEM-117	MB-RF034|MB-RF127
gb|AAN05028.1|ARO:3000941|TEM-75	MB-RF034|MB-RF127
gb|AAN05029.1|ARO:3000981|TEM-118	MB-RF034|MB-RF127
gb|AAN05030.1|ARO:3002475|LEN-3	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN05031.1|ARO:3002472|LEN-4	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN06707.1|ARO:3000165|tet(A)	MB-RF086|MB-RF129|MB-RF142
gb|AAN17791.1|ARO:3004294|BUT-1	MB-RF036|MB-RF038
gb|AAN28721.1|ARO:3002871|tet37	MB-RF128|MB-RF144
gb|AAN28732.1|ARO:3002409|OXY-3-1	MB-RF034|MB-RF102
gb|AAN32638.1|ARO:3000842|EBR-1	MB-RF035|MB-RF065|MB-RF123
gb|AAN34365.1|ARO:3002604|aadA4	MB-RF011|MB-RF012|MB-RF014
gb|AAN38836.1|ARO:3001886|CTX-M-24	MB-RF034|MB-RF048
gb|AAN39364.1|ARO:3001103|SHV-45	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAN41427.1|ARO:3001775|OXA-119	MB-RF037|MB-RF093|MB-RF097
gb|AAN41430.1|ARO:3001578|OXA-392	MB-RF037|MB-RF093|MB-RF096
gb|AAN41439.1|ARO:3002608|aadA8	MB-RF011|MB-RF012|MB-RF014
gb|AAN52134.1|ARO:3002275|VIM-5	MB-RF035|MB-RF123|MB-RF160
gb|AAN63496.1|ARO:3002271|VIM-1	MB-RF035|MB-RF123|MB-RF160
gb|AAN63647.1|ARO:3000843|MUS-1	MB-RF027|MB-RF035|MB-RF123
gb|AAN63648.1|ARO:3000844|TUS-1	MB-RF027|MB-RF035|MB-RF123
gb|AAN75444.1|ARO:3001888|CTX-M-26	MB-RF034|MB-RF048
gb|AAN77730.1|ARO:3001097|SHV-39	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAN84550.1|ARO:3002276|VIM-6	MB-RF035|MB-RF123|MB-RF160
gb|AAN86837.2|ARO:3000601|Erm(38)	MB-RF055|MB-RF058
gb|AAN87151.1|ARO:3002618|aadA21	MB-RF011|MB-RF012|MB-RF014
gb|AAO33760.1|ARO:3000879|TEM-7	MB-RF034|MB-RF127
gb|AAO42602.1|ARO:3002168|MIR-2	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|AAO43110.1|ARO:3000300|lsaA	MB-RF006
gb|AAO43172.1|ARO:3003848|ADC-2	MB-RF036
gb|AAO53445.1|ARO:3001104|SHV-46	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAO59455.1|ARO:3002247|CARB-8	MB-RF030|MB-RF034
gb|AAO59456.1|ARO:3003849|ADC-3	MB-RF036
gb|AAO59457.1|ARO:3003850|ADC-4	MB-RF036
gb|AAO61597.1|ARO:3001889|CTX-M-27	MB-RF034|MB-RF048
gb|AAO66446.1|ARO:3001113|SHV-57	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAO83986.1|ARO:3002623|ANT(4')-Ia	MB-RF011|MB-RF012|MB-RF015
gb|AAO85882.1|ARO:3000982|TEM-120	MB-RF034|MB-RF127
gb|AAO88912.1|ARO:3001895|CTX-M-33	MB-RF034|MB-RF048
gb|AAP03063.1|ARO:3001105|SHV-48	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP22374.1|ARO:3002248|CARB-9	MB-RF030|MB-RF034
gb|AAP22736.1|ARO:3001891|CTX-M-29	MB-RF034|MB-RF048
gb|AAP22974.1|ARO:3002336|GES-7	MB-RF034|MB-RF059
gb|AAP33454.2|ARO:3001089|SHV-31	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP40270.1|ARO:3001671|OXA-49	MB-RF037|MB-RF093|MB-RF100
gb|AAP41108.1|ARO:3001107|SHV-50	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP41944.1|ARO:3001108|SHV-51	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP43109.1|ARO:3003922|oqxA	MB-RF006|MB-RF072|MB-RF083|MB-RF086|MB-RF108
gb|AAP43110.2|ARO:3003923|oqxB	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108
gb|AAP43508.1|ARO:3001892|CTX-M-30	MB-RF034|MB-RF048
gb|AAP43641.1|ARO:3001810|OXA-53	MB-RF037|MB-RF093|MB-RF097
gb|AAP43642.1|ARO:3002588|AAC(6')-I30	MB-RF004|MB-RF011
gb|AAP69225.1|ARO:3001781|OXA-47	MB-RF037|MB-RF093|MB-RF096
gb|AAP69912.1|ARO:3003100|cphA4	MB-RF035|MB-RF124|MB-RF035|MB-RF112|MB-RF124
gb|AAP69913.1|ARO:3003101|cphA5	MB-RF035|MB-RF124|MB-RF035|MB-RF112|MB-RF124
gb|AAP69914.1|ARO:3003102|cphA6	MB-RF035|MB-RF124|MB-RF035|MB-RF112|MB-RF124
gb|AAP69916.1|ARO:3001780|OXA-85	MB-RF037|MB-RF093
gb|AAP70012.1|ARO:3001782|OXA-48	MB-RF037|MB-RF093|MB-RF095
gb|AAP74657.1|ARO:3000600|Erm(34)	MB-RF055|MB-RF058
gb|AAP82228.1|ARO:3001102|SHV-44	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP93847.1|ARO:3002477|LEN-14	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP93848.1|ARO:3002476|LEN-6	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAP93922.1|ARO:3000569|tet(41)	MB-RF086|MB-RF142|MB-RF129|MB-RF145
gb|AAP97129.1|ARO:3003104|cphA8	MB-RF035|MB-RF124|MB-RF035|MB-RF112|MB-RF124
gb|AAQ01671.1|ARO:3000983|TEM-121	MB-RF034|MB-RF127
gb|AAQ08905.1|ARO:3001808|OXA-60	MB-RF037|MB-RF093
gb|AAQ10694.1|ARO:3003047|qacB	MB-RF086|MB-RF142|MB-RF145
gb|AAQ16660.2|ARO:3002024|CMY-13	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|AAQ54756.1|ARO:3004815|GOB-8	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAQ76277.1|ARO:3001796|OXA-50	MB-RF037|MB-RF093
gb|AAQ93490.1|ARO:3000985|TEM-123	MB-RF034|MB-RF127
gb|AAQ93491.1|ARO:3000986|TEM-124	MB-RF034|MB-RF127
gb|AAQ98890.1|ARO:3000984|TEM-122	MB-RF034|MB-RF127
gb|AAR03105.1|ARO:3001813|OXA-55	MB-RF037|MB-RF093|MB-RF095
gb|AAR10958.1|ARO:3000995|TEM-131	MB-RF034|MB-RF127
gb|AAR20595.1|ARO:3000090|BLA1	MB-RF034|MB-RF024|MB-RF035|MB-RF123
gb|AAR20596.1|ARO:3004189|Bla2	MB-RF024|MB-RF035|MB-RF123
gb|AAR21614.1|ARO:3002529|AAC(3)-Id	MB-RF002|MB-RF003|MB-RF011
gb|AAR32134.1|ARO:3001792|OXA-62	MB-RF037|MB-RF093
gb|AAR32651.1|ARO:3001795|OXA-56	MB-RF037|MB-RF093|MB-RF094
gb|AAR84298.1|ARO:3000996|TEM-132	MB-RF034|MB-RF127
gb|AAR84672.1|ARO:3002925|vanRF	MB-RF152
gb|AAR84673.1|ARO:3002936|vanSF	MB-RF153
gb|AAR87489.1|ARO:3002134|DHA-3	MB-RF036|MB-RF049
gb|AAR89358.1|ARO:3000989|TEM-127	MB-RF034|MB-RF127
gb|AAR89359.1|ARO:3000990|TEM-128	MB-RF034|MB-RF127
gb|AAR89917.1|ARO:3001812|OXA-54	MB-RF037|MB-RF093|MB-RF095
gb|AAR92235.1|ARO:3000602|Erm(39)	MB-RF055|MB-RF058
gb|AAR97270.1|ARO:3002334|GES-5	MB-RF034|MB-RF059
gb|AAR97271.1|ARO:3002335|GES-6	MB-RF034|MB-RF059
gb|AAR99493.1|ARO:3001896|CTX-M-34	MB-RF034|MB-RF048
gb|AAS07017.3|ARO:3002494|SRT-2	MB-RF036|MB-RF038
gb|AAS13399.1|ARO:3002028|CMY-17	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|AAS13759.1|ARO:3002278|VIM-8	MB-RF035|MB-RF123|MB-RF160
gb|AAS13760.1|ARO:3002279|VIM-9	MB-RF035|MB-RF123|MB-RF160
gb|AAS13761.1|ARO:3002280|VIM-10	MB-RF035|MB-RF123|MB-RF160
gb|AAS19171.1|ARO:3000997|TEM-133	MB-RF034|MB-RF127
gb|AAS48620.1|ARO:3002372|VEB-3	MB-RF034|MB-RF159
gb|AAS68233.1|ARO:3000391|norA	MB-RF086|MB-RF091|MB-RF086|MB-RF091|MB-RF142|MB-RF145
gb|AAS76623.1|ARO:3004606|erm(40)	MB-RF058|MB-RF055
gb|AAS78754.1|ARO:3002261|IND-5	MB-RF035|MB-RF065|MB-RF123
gb|AAS79107.1|ARO:3000998|TEM-134	MB-RF034|MB-RF127
gb|AAS79458.1|ARO:3001302|chrB	MB-RF060|MB-RF109
gb|AAS89982.1|ARO:3000975|TEM-112	MB-RF034|MB-RF127
gb|AAS89983.1|ARO:3000976|TEM-113	MB-RF034|MB-RF127
gb|AAS89984.1|ARO:3000977|TEM-114	MB-RF034|MB-RF127
gb|AAS92558.1|ARO:3002381|SME-3	MB-RF034|MB-RF120
gb|AAS98184.1|ARO:3001106|SHV-49	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAT01092.1|ARO:3001773|OXA-61	MB-RF037|MB-RF093
gb|AAT01223.1|ARO:3001110|SHV-53	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAT36613.1|ARO:3002281|VIM-11	MB-RF035|MB-RF123|MB-RF160
gb|AAT45742.1|ARO:3000988|TEM-126	MB-RF034|MB-RF127
gb|AAT46346.1|ARO:3004292|Laribacter	MB-RF036
gb|AAT46413.1|ARO:3000972|TEM-109	MB-RF034|MB-RF127
gb|AAT46414.1|ARO:3000987|TEM-125	MB-RF034|MB-RF127
gb|AAT48653.1|ARO:3002284|VIM-14	MB-RF035|MB-RF123|MB-RF160
gb|AAT49068.1|ARO:3002205|IMP-14	MB-RF035|MB-RF063|MB-RF123
gb|AAT49070.1|ARO:3002206|IMP-15	MB-RF035|MB-RF063|MB-RF123
gb|AAT68576.1|ARO:3004816|GOB-9	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAT68577.1|ARO:3004802|GOB-10	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAT68578.1|ARO:3004803|GOB-11	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAT68579.1|ARO:3004804|GOB-12	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAT68580.1|ARO:3004805|GOB-13	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAT68582.1|ARO:3004806|GOB-14	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAT68658.1|ARO:3001873|CTX-M-10	MB-RF034|MB-RF048
gb|AAT70415.1|ARO:3001899|CTX-M-37	MB-RF034|MB-RF048
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAT75225.1|ARO:3001088|SHV-30	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAT90846.1|ARO:3003556|SLB-1	MB-RF051|MB-RF035|MB-RF050|MB-RF123|MB-RF053
gb|AAT90847.1|ARO:3003557|SFB-1	MB-RF051|MB-RF035|MB-RF050|MB-RF123|MB-RF053
gb|AAU06362.1|ARO:3002314|KPC-4	MB-RF034|MB-RF067
gb|AAU10334.1|ARO:3002628|aad(6)	MB-RF011|MB-RF012|MB-RF016
gb|AAU25807.1|ARO:3002456|LEN-5	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAU88145.1|ARO:3001764|OXA-63	MB-RF037|MB-RF093
gb|AAU89132.1|ARO:3002365|PER-3	MB-RF034|MB-RF104
gb|AAU89706.1|ARO:3002464|LEN-16	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAU93796.1|ARO:3000594|ErmR	MB-RF055|MB-RF058
gb|AAU95778.1|ARO:3002029|CMY-18	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|AAU95779.1|ARO:3002169|MIR-3	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|AAV28215.2|ARO:3001902|CTX-M-40	MB-RF034|MB-RF048
gb|AAV32840.1|ARO:3002611|aadA11	MB-RF011|MB-RF012|MB-RF014
gb|AAV37205.1|ARO:3003005|CfxA4	MB-RF033|MB-RF034
gb|AAV37206.1|ARO:3003096|CfxA5	MB-RF033|MB-RF034
gb|AAV65289.1|ARO:3001418|OXA-23	MB-RF037|MB-RF093|MB-RF100
gb|AAV65595.1|ARO:3004807|GOB-15	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAV66328.1|ARO:3001114|SHV-59	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAV70602.1|ARO:3001900|CTX-M-38	MB-RF034|MB-RF048
gb|AAV80464.1|ARO:3000565|tet(38)	MB-RF086|MB-RF142
gb|AAV80715.1|ARO:3002446|OKP-B-13	MB-RF034|MB-RF113|MB-RF114|MB-RF115|MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF117|MB-RF119|MB-RF034|MB-RF113|MB-RF117|MB-RF118|MB-RF114
gb|AAV83795.1|ARO:3001000|TEM-136	MB-RF034|MB-RF127
gb|AAV85981.1|ARO:3000533|macA	MB-RF006|MB-RF072|MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|AAV85982.1|ARO:3000535|macB	MB-RF006|MB-RF010|MB-RF073|MB-RF086|MB-RF108
gb|AAV97952.1|ARO:3001909|CTX-M-47	MB-RF034|MB-RF048
gb|AAV97953.1|ARO:3001910|CTX-M-48	MB-RF034|MB-RF048
gb|AAV97954.1|ARO:3001911|CTX-M-49	MB-RF034|MB-RF048
gb|AAV97955.1|ARO:3001912|CTX-M-50	MB-RF034|MB-RF048
gb|AAV97956.1|ARO:3001908|CTX-M-46	MB-RF034|MB-RF048
gb|AAV97957.1|ARO:3001933|CTX-M-72	MB-RF034|MB-RF048
gb|AAW22056.1|ARO:3001785|OXA-73	MB-RF037|MB-RF093|MB-RF100
gb|AAW34150.1|ARO:3004191|APH(2'')-If	MB-RF011|MB-RF004
gb|AAW38464.1|ARO:3004572|Staphylococcys	MB-RF145|MB-RF054|MB-RF086
gb|AAW47922.1|ARO:3001002|TEM-138	MB-RF034|MB-RF127
gb|AAW66497.1|ARO:3000566|tet(39)	MB-RF086|MB-RF142|MB-RF129
gb|AAW66604.1|ARO:3000883|TEM-11	MB-RF034|MB-RF127
gb|AAW81336.1|ARO:3001613|OXA-64	MB-RF037|MB-RF093|MB-RF101
gb|AAW81337.1|ARO:3001614|OXA-65	MB-RF037|MB-RF093|MB-RF101
gb|AAW81339.1|ARO:3001616|OXA-68	MB-RF037|MB-RF093|MB-RF101
gb|AAW81341.1|ARO:3001618|OXA-70	MB-RF037|MB-RF093|MB-RF101
gb|AAW81342.1|ARO:3001619|OXA-71	MB-RF037|MB-RF093|MB-RF101
gb|AAW81358.1|ARO:3001645|OXA-78	MB-RF037|MB-RF093|MB-RF101
gb|AAX14802.1|ARO:3000781|adeJ	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108|MB-RF008|MB-RF108
gb|AAX14803.1|ARO:3000782|adeK	MB-RF006|MB-RF086|MB-RF009|MB-RF108|MB-RF072
gb|AAX38178.1|ARO:3002634|APH(2'')-Ie	MB-RF011|MB-RF004
gb|AAX51233.1|ARO:3001622|OXA-77	MB-RF037|MB-RF093|MB-RF101
gb|AAX51234.1|ARO:3001621|OXA-76	MB-RF037|MB-RF093|MB-RF101
gb|AAX54694.1|ARO:3001901|CTX-M-39	MB-RF034|MB-RF048
gb|AAX55643.1|ARO:3003558|y56	MB-RF034
gb|AAX56615.1|ARO:3001004|TEM-141	MB-RF034|MB-RF127
gb|AAX58682.2|ARO:3002031|CMY-20	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|AAY42633.1|ARO:3001124|SHV-70	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAY43008.1|ARO:3001903|CTX-M-41	MB-RF034|MB-RF048
gb|AAY43207.1|ARO:3002338|GES-9	MB-RF034|MB-RF059
gb|AAY53478.1|ARO:3004213|GOB-18	MB-RF035|MB-RF061|MB-RF125|MB-RF070
gb|AAY84742.1|ARO:3001904|CTX-M-42	MB-RF034|MB-RF048
gb|AAY85632.1|ARO:3001006|TEM-143	MB-RF034|MB-RF127
gb|AAZ04368.1|ARO:3002385|BEL-1	MB-RF034|MB-RF059
gb|AAZ14083.2|ARO:3001012|TEM-145	MB-RF034|MB-RF127
gb|AAZ14084.2|ARO:3001013|TEM-146	MB-RF034|MB-RF127
gb|AAZ14955.1|ARO:3001905|CTX-M-43	MB-RF034|MB-RF048
gb|AAZ23494.1|ARO:3001003|TEM-139	MB-RF034|MB-RF127
gb|AAZ66866.1|ARO:3002032|CMY-21	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|AAZ73123.1|ARO:3002282|VIM-12	MB-RF035|MB-RF123|MB-RF160
gb|AAZ78361.1|ARO:3001703|OXA-86	MB-RF037|MB-RF093|MB-RF101
gb|AAZ79401.1|ARO:3002473|LEN-17	MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAZ91704.1|ARO:3002241|CARB-2	MB-RF030|MB-RF034
gb|AAZ95872.1|ARO:3001865|CTX-M-2	MB-RF034|MB-RF048
gb|ABA00479.1|ARO:3001859|IMI-2	MB-RF034|MB-RF062
gb|ABA06586.1|ARO:3001119|SHV-64	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABA06587.1|ARO:3001120|SHV-65	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABA06588.1|ARO:3001121|SHV-66	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABA06589.1|ARO:3001122|SHV-67	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABA06590.1|ARO:3001123|SHV-69	MB-RF034|MB-RF113|MB-RF114|MB-RF115
